group,names,scores,logfoldchanges,pvals,pvals_adj
2,SGCB,29.673288,0.09439459,1.6984299796979202e-193,5.611766741288978e-191
2,RP11-138H8.7,29.672977,-0.39297938,1.714199168206037e-193,5.611766741288978e-191
2,OR2A7,29.672646,-2.730969,1.7312673435798245e-193,5.611766741288978e-191
2,GATSL2,29.672176,-0.4771139,1.755506812202727e-193,5.611766741288978e-191
2,AC005682.8,29.67184,,1.773133428259226e-193,5.611766741288978e-191
2,CAMK4,29.671745,-0.9448298,1.7781596995423636e-193,5.611766741288978e-191
2,IRS1,29.671375,-0.24238062,1.7978087068193636e-193,5.611766741288978e-191
2,RP11-392E22.5,29.670773,-1.8672005,1.830278148347232e-193,5.611766741288978e-191
2,RP11-134K13.4,29.670637,-1.1945287,1.8376067523359413e-193,5.611766741288978e-191
2,DDX11-AS1,29.670176,-5.4596305,1.8630231093043963e-193,5.611766741288978e-191
2,HMGN2P4,29.670073,,1.8687705620276877e-193,5.611766741288978e-191
2,LMO3,29.670015,,1.8718846638825836e-193,5.611766741288978e-191
2,DNAH3,29.670015,,1.8718846638825836e-193,5.611766741288978e-191
2,AC069277.2,29.670015,,1.8718846638825836e-193,5.611766741288978e-191
2,AC138623.1,29.669401,-3.229724,1.9063250883432215e-193,5.611766741288978e-191
2,SOCS5P4,29.669153,-0.65781754,1.9205016483682748e-193,5.611766741288978e-191
2,RPS26P43,29.668839,-4.1062613,1.9384915511989355e-193,5.611766741288978e-191
2,RP11-159A18.1,29.668276,,1.971200151465113e-193,5.611766741288978e-191
2,RP11-460I13.6,29.668276,,1.971200151465113e-193,5.611766741288978e-191
2,MRM1,29.667828,,1.997547317987018e-193,5.611766741288978e-191
2,RP11-567I13.1,29.667458,,2.0197017387554907e-193,5.611766741288978e-191
2,RAB9B,29.667458,,2.0197017387554907e-193,5.611766741288978e-191
2,CSF3,29.667341,,2.0266066648081986e-193,5.611766741288978e-191
2,RP11-552F3.10,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,RP11-173D9.5,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,FGFR3,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,LINC00970,29.667118,,2.040147656074933e-193,5.611766741288978e-191
2,RP11-574K11.28,29.667114,-1.2123533,2.0403174891034134e-193,5.611766741288978e-191
2,STX19,29.667107,-0.4063113,2.040827072924007e-193,5.611766741288978e-191
2,ENPP5,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RP11-18H21.1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,TLE2,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,PDCD1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RP5-916O11.1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RP11-214O14.1,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RPL34P26,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,HOXB2,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,TSHR,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RPS2P2,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,CAPN5,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
2,RNU6-834P,29.666857,-2.7747731,2.0560026933339326e-193,5.611766741288978e-191
3,SRGN,24.379318,,2.834553517461044e-131,2.729344339404615e-127
3,ZFP36L1,24.250376,,6.5520564340164364e-130,5.407599376606165e-126
3,FOS,24.118843,,1.5858173304678158e-128,1.1452178079139641e-124
3,BTG1,22.709467,,3.611950323439006e-114,1.738943383633681e-110
3,RGS2,22.642532,,1.6527387354620215e-113,7.344898074142105e-110
3,SMCHD1,22.125713,,1.7879071570171572e-108,6.455797511397014e-105
3,B2M,21.652767,,5.723937919970995e-104,1.9452297967675544e-100
3,DUSP1,21.206253,,8.361289607194704e-100,2.5424041288234717e-96
3,EVI2B,20.936579,,2.486918653759245e-97,6.530761426528766e-94
3,HLA-C,20.610777,,2.1967443625291233e-94,4.8812504637075017e-91
3,FCGR3B,20.542322,,9.014752168707266e-94,1.795894058768017e-90
3,CXCR2,20.087708,,9.452710396846024e-90,1.5603183935913869e-86
3,TXNIP,19.884434,,5.550523150394454e-88,8.666766863992941e-85
3,CTSS,19.775372,,4.85246239551685e-87,7.188238717338333e-84
3,MME,19.548561,,4.2431626852930187e-85,5.979030190669112e-82
3,ITM2B,18.365995,,2.459013783451419e-75,2.4923614616024357e-72
3,HLA-A,18.030052,,1.1318522047097883e-72,1.0217265222296656e-69
3,BTG2,17.811554,,5.749069210824609e-71,4.884426110543678e-68
3,JUND,17.758598,,1.4787919697642043e-70,1.186586784294269e-67
3,CEBPB,17.579971,,3.5075016087438285e-69,2.471205980999478e-66
3,FGL2,17.199594,,2.6740023132014635e-66,1.626159322532507e-63
3,LRRK2,16.984549,,1.0687403210669993e-64,5.664617850367317e-62
3,RP11-6I2.3,16.971382,,1.3374775451297599e-64,7.024553655889238e-62
3,DSC2,16.955044,,1.766279298896418e-64,9.193085940102951e-62
3,SDCBP,16.927185,,2.8362322209336537e-64,1.4373477552631576e-61
3,SLC8A1,16.894066,,4.975256904221334e-64,2.4994392793702532e-61
3,HAVCR2,16.839182,,1.2596527993719299e-63,6.273613894665044e-61
3,NOTCH2NL,16.754622,,5.23937867428069e-63,2.4609319036521817e-60
3,FTL,16.747763,,5.879656456684451e-63,2.739398326387345e-60
3,NFKBIE,16.681961,,1.772989361022645e-62,8.06542632711506e-60
3,GPRIN3,16.607191,,6.182169903380379e-62,2.665391804686527e-59
3,SH3PXD2B,16.569607,,1.1557976477577495e-61,4.9098454046991515e-59
3,LINC00954,16.515001,,2.8615511196423722e-61,1.1979738611239043e-58
3,CYP17A1-AS1,16.446459,,8.891684198948668e-61,3.669280508756153e-58
3,ACCS,16.401218,,1.8744053702741907e-60,7.417124757318549e-58
3,RAF1,16.393639,,2.12345576741737e-60,8.289081760202955e-58
3,ADAP2,16.376127,,2.8321313232630283e-60,1.0764521245978614e-57
3,RPGR,16.374338,,2.916630807177059e-60,1.1013236053793478e-57
3,TG,16.315493,,7.658704018591457e-60,2.836322482474899e-57
3,RP11-74C1.4,16.31367,-1.6095297,7.890652934468851e-60,2.9036095030768723e-57
3,TPK1,16.286324,,1.2342931937420603e-59,4.484831489437739e-57
3,PLEKHH2,16.28343,-1.8619331,1.2940740726993908e-59,4.6726588376288694e-57
3,HOXA5,16.27889,-1.8397338,1.3937167330118723e-59,4.970320791129315e-57
